,c1,c2,E1,E2,eta
0,0.003113594055175639,0.00019794464111377863,6.633996963500977e-05,0.00016668438911437988,8.823394775403504e-05
1,5.081176757748551e-05,0.0003457069396972656,0.0001439154148101529,0.00016960501670837402,2.0980834959383188e-06
2,7.648468017507071e-05,0.0007512664794937507,5.728006362915039e-05,0.00021779537200927734,7.264614105273459e-06
3,0.41369354248046875,0.02232255935668892,0.008297860622405895,0.001805722713470459,0.013522529602050803
4,0.010673255920410796,0.008005714416503551,0.00041943788528442383,0.0011681616306304932,0.0002445077896118253
5,8.903503417911907e-05,0.000396728515625,5.245208740234375e-05,0.00021386146545410156,2.1409988403275904e-06
6,2.5394302749633813,0.16569644927978544,0.018926292657852173,0.023472726345062256,0.02371408224105831
7,0.8413523101806639,1.7067822265625008,0.0008511245250701904,0.004444122314453125,0.0032566761970520552
8,0.1490842437744142,0.0910939884185793,0.03788632154464722,0.010000526905059814,0.029999988079070894
9,9.81140136726566e-05,0.00011489868163927497,0.00010575354099270906,0.00016251206398010254,3.0517578123445688e-06
