,c1,c2,E1,E2,eta
0,0.00025089396093276703,1.2820248776684085e-05,0.00013267993927001953,0.00033336877822875977,9.003464056534187e-05
1,4.223754578344598e-06,5.53131103515625e-05,0.0005756616592408337,0.0006784200668334961,2.2085089430929674e-06
2,7.2497327180161806e-06,4.2301040512035506e-05,7.637341817220052e-05,0.0002903938293457031,7.811413016423074e-06
3,1.0886672170538652,0.010629790169851867,0.011063814163208008,0.002407630284627279,0.015908858355353887
4,0.0011819773998240084,0.0007344692125232615,0.0008388757705688477,0.0023363232612609863,0.00024697756526447
5,5.516420952857439e-06,2.689684851682872e-05,6.993611653645833e-05,0.00028514862060546875,2.432953227644989e-06
6,0.15035111160233164,0.012112313543843836,0.037852585315704346,0.04694545269012451,0.028571183422961822
7,0.04465776593315626,0.11674297035311224,0.0017022490501403809,0.00888824462890625,0.004020587897595129
8,0.007883883859038486,0.044873885920482415,0.03788632154464722,0.010000526905059814,0.036144563950687957
9,1.4281515818306902e-05,1.4326518907861763e-05,0.0004230141639711693,0.0006500482559204102,3.2123766445732303e-06
