,pn,a1,a3,max_t,min_t,max_p
0,0.8411169018087583,0.9496937370678254,0.28832488892886154,21.059292183904528,19.996415439688686,2.8042642261203166
1,0.8858476607045206,0.9409288644955963,0.3171629625071056,19.231324536544207,20.296580690452405,3.2822351899250504
0,0.02,0.9525,0.249945,20.724,18.665,5.103
1,0.02,0.9513,0.244179,19.505,17.669,4.5
0,0.8211169018087583,0.0028062629321745636,0.038379888928861544,0.335292183904528,1.331415439688687,2.298735773879683
1,0.8658476607045206,0.010371135504403717,0.07298396250710557,0.27367546345579186,2.6275806904524046,1.2177648100749496
