,pn,a1,a3,max_t,min_t,max_p
0,0.01,0.9391655713629065,0.31968424873250567,20.439997737198507,18.644253204186864,2.7962461230525237
1,0.01,0.9345209875405579,0.3243354950303208,19.19493942029696,17.969991004108717,3.808779105330617
2,0.020010333377476618,0.944023503979436,0.2502029958707566,20.64824402942778,18.985957110371093,3.4961186757390577
3,0.020015738625837116,0.9525033041150202,0.2479011826528805,22.651033936698028,21.715798208414185,2.6299008749572734
4,0.019929272735143395,0.9566781211433769,0.23924933667856035,21.733757545111782,19.67700046271012,2.885144012318119
5,0.019809268380283965,0.9506372094294274,0.28950107120275675,20.974102854091353,20.023922731436308,2.6044555628840405
6,0.01,0.9394266906250341,0.27158593042671003,19.096808737930957,18.077045593149286,4.507694184547138
7,0.01999482636938524,0.948298055333703,0.28553133792327823,22.920251203697962,21.884975287808313,2.1218278841749862
8,0.01,0.9459960189718003,0.2751875980403897,19.52017861064045,16.880920060844897,5.281706025502599
9,0.01,0.9291175117918639,0.3255468522778059,19.182289227882915,17.711246990994546,4.106654386762446
0,0.02,0.9525,0.249945,20.724,18.665,5.103
1,0.02,0.9513,0.244179,19.505,17.669,4.5
2,0.02,0.944,0.250173,20.648,18.715,5.05
3,0.02,0.9525,0.247923,22.651,20.493,4.791
4,0.02,0.9547,0.238463,21.734,19.848,5.473
5,0.02,0.9507,0.286945,20.976,18.931,4.707
6,0.02,0.952,0.210676,19.45,17.412,5.321
7,0.02,0.9483,0.285172,22.92,20.904,4.938
8,0.02,0.9575,0.233847,19.833,18.029,5.369
9,0.02,0.9446,0.25681,19.512,17.625,4.996
0,-0.5,-0.01399940014393024,0.2790183789733968,-0.013704027350004514,-0.0011115347341620853,-0.4520387765917061
1,-0.5,-0.01763798219220239,0.32826940494604684,-0.01589646653181428,0.01703497674507424,-0.1536046432598629
2,0.0005166688738308597,2.4898283300919576e-05,0.00011990051187233773,1.1818550357404084e-05,0.01447807162014923,-0.30769927213087966
3,0.0007869312918558011,3.4688871602538888e-06,-8.800049660381293e-05,1.498242816112264e-06,0.059669067897047116,-0.45107474953928756
4,-0.0035363632428302497,0.0020719819245594647,0.003297520699481032,-1.11555575696886e-05,-0.008615454317305536,-0.47284048742588725
5,-0.009536580985801749,-6.604667147635261e-05,0.00890787852291118,-9.044364553044126e-05,0.05773190700101985,-0.4466846052933842
6,-0.5,-0.01320725774681283,0.2891166076188556,-0.018158933782470063,0.038194669948844885,-0.15284830209600855
7,-0.0002586815307379503,-2.0506868048017765e-06,0.0012600743525950893,1.0960021726015631e-05,0.04692763527594303,-0.5703062202966815
8,-0.5,-0.012014601596031035,0.17678481246451622,-0.01577277211513884,-0.06367962389234584,-0.016258888898752252
9,-0.5,-0.01639052319303,0.2676564474818189,-0.016897846049461117,0.004893446297562895,-0.1780115318730093
