DAP,RTP
34.99,3.82
34.99,18.55
34.99,3.28
34.99,1.25
34.99,1.27
34.99,1.32
34.99,1.3
34.99,23.67
34.99,23.55
34.99,27.94
33.77,27.99
33.77,27.92
33.77,27.94
33.77,26.49
33.77,27.4
33.77,25.43
33.77,2.06
33.77,2.04
33.77,17.22
33.77,17.2
33.77,18.92
33.77,18.53
32.93,16.26
32.93,16.58
32.93,16.24
32.93,16.26
32.93,16.42
32.93,16.4
32.93,16.42
32.93,16.42
32.93,14.67
32.93,11.61
32.93,8.71
32.93,16.48
31.59,26.4
31.59,27.92
31.59,8.68
31.59,8.81
31.59,10.51
31.59,14.84
31.59,27.94
31.59,26.36
31.59,24.73
31.59,15.03
31.59,22.21
31.59,22.23
30.8,27.92
30.8,23.49
30.8,22.69
30.8,22.65
30.8,22.71
30.8,23.12
30.8,28.08
30.8,25.15
30.8,17.63
30.8,18.3
30.8,17.63
30.8,20.79
31.02,28.15
31.02,28.74
31.02,28.18
31.02,28.16
31.02,28.15
31.02,28.16
31.02,28.1
31.02,28.95
31.02,28.18
31.02,28.95
31.02,30.46
31.02,29.45
32.31,29.96
32.31,29.84
32.31,30.34
32.31,30.75
32.31,30.46
32.31,30.84
32.31,30.86
32.31,30.99
32.31,30.86
32.31,6.5
32.31,5.48
32.31,29.48
40.13,29.33
40.13,29.49
40.13,29.84
40.13,30.34
40.13,30.52
40.13,29.33
40.13,30.49
40.13,31.37
40.13,31.46
40.13,32.37
40.13,43.45
40.13,43.91
51.31,43.91
51.31,65.24
51.31,87.94
51.31,145.87
51.31,261.54
51.31,49.48
51.31,33.34
51.31,32.64
51.31,33.13
51.31,34.69
51.31,39.05
51.31,53.96
47.23,45.47
47.23,44.84
47.23,83.95
47.23,46.05
47.23,46.81
47.23,85.3
47.23,157.24
47.23,83.67
47.23,32.37
47.23,26.3
47.23,26.13
47.23,32
42.45,32.37
42.45,32.82
42.45,32.37
42.45,32.82
42.45,32.79
42.45,31.5
42.45,30.36
42.45,29.98
42.45,30.71
42.45,25.12
42.45,24.91
42.45,25.5
36.69,26.49
36.69,26.51
36.69,31.83
36.69,31.37
36.69,31.3
36.69,31.47
36.69,30.46
36.69,29.34
36.69,23.6
36.69,23.53
36.69,23.44
36.69,25.16
33.52,29.39
33.52,28.66
33.52,28.66
33.52,27.89
33.52,26.64
33.52,23.64
33.52,23.64
33.52,23.55
33.52,23.01
33.52,20.59
33.52,23.5
33.52,27.9
30.41,32.95
30.41,32.95
30.41,31.91
30.41,31.91
30.41,31.38
30.41,29.84
30.41,28.84
30.41,28.81
30.41,17.68
30.41,17.68
30.41,5.9
30.41,20.52
28,20.49
28,23.45
28,23.51
28,23.93
28,23.94
28,23.94
28,27.81
28,24.75
28,25.72
28,27.71
28,6.27
28,30.59
26.44,32.08
26.44,26.22
26.44,29.68
26.44,25.85
26.44,25.69
26.44,25.95
26.44,26
26.44,30.53
26.44,26.46
26.44,30.62
26.44,20.76
26.44,23.74
24.11,23.76
24.11,20.81
24.11,25.38
24.11,29.63
24.11,23.74
24.11,25.38
24.11,25.62
24.11,25.52
24.11,23.76
24.11,20.9
24.11,20.85
24.11,23.06
22.78,23.48
22.78,20.96
22.78,23.45
22.78,23.74
22.78,23.15
22.78,23.74
22.78,25.68
22.78,24.97
22.78,21.01
22.78,23.13
22.78,23.15
22.78,23.41
22.14,23.11
22.14,20.99
22.14,20.88
22.14,20.82
22.14,20.92
22.14,20.97
22.14,23.11
22.14,23.11
22.14,23.15
22.14,23.15
22.14,23.17
22.14,21.05
23.16,23.99
23.16,24.02
23.16,17.37
23.16,21
23.16,21.09
23.16,17.57
23.16,20.97
23.16,17.4
23.16,14.51
23.16,17.45
23.16,17.47
